item_id	level	deck_id	source_position	kanji	onyomi	kunyomi	hanviet	meaning	examples	memo	related_words	tags	status
N4-KANJI-0001	N4	n4_kanji_core	1	力	リイ, リキ, リョク	ちから	LỰC	sức mạnh	力（ちから）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	力|ちから|sức mạnh	kanji,n4,image-15-28	ready
N4-KANJI-0002	N4	n4_kanji_core	2	動	ドウ	うご.かす, うご.く	ĐỘNG	chuyển động	動物（どうぶつ）; 動く（うごく）; 運動会（うんどうかい）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	動物|どうぶつ|động vật\n動く|うごく|chuyển động, hoạt động\n運動会|うんどうかい|đại hội thể thao	kanji,n4,image-15-28	ready
N4-KANJI-0003	N4	n4_kanji_core	3	働	ドウ	はたら.く	ĐỘNG	làm việc	働く（はたらく）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	働く|はたらく|làm việc	kanji,n4,image-15-28	ready
N4-KANJI-0004	N4	n4_kanji_core	4	知	チ	し.らせる, し.る	TRI	biết	知る（しる）; お知らせ（おしらせ）; 知り合い（しりあい）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	知る|しる|biết\nお知らせ|おしらせ|thông báo\n知り合い|しりあい|người quen	kanji,n4,image-15-28	ready
N4-KANJI-0005	N4	n4_kanji_core	5	短	タン	みじか.い	ĐOẢN	ngắn	短い（みじかい）; 短気（たんき）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	短い|みじかい|ngắn\n短気|たんき|dễ nổi nóng, nóng nảy	kanji,n4,image-15-28	ready
N4-KANJI-0006	N4	n4_kanji_core	6	医	イ	い.する, い.やす, くすし	Y	y, bác sĩ	医者（いしゃ）; 歯医者（はいしゃ）; 医学（いがく）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	医者|いしゃ|bác sĩ\n歯医者|はいしゃ|nha sĩ\n医学|いがく|y học	kanji,n4,image-15-28	ready
N4-KANJI-0007	N4	n4_kanji_core	7	馬	バ	うま, うま-, ま	MÃ	ngựa	馬（うま）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	馬|うま|con ngựa	kanji,n4,image-15-28	ready
N4-KANJI-0008	N4	n4_kanji_core	8	駅	エキ		DỊCH	nhà ga	駅（えき）; 駅員（えきいん）; 駅前（えきまえ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	駅|えき|nhà ga\n駅員|えきいん|nhân viên nhà ga\n駅前|えきまえ|trước ga	kanji,n4,image-15-28	ready
N4-KANJI-0009	N4	n4_kanji_core	9	験	ケン, ゲン	あかし, しるし, ため.す, ためし	NGHIỆM	kiểm nghiệm, thi	試験（しけん）; 経験（けいけん）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	試験|しけん|kiểm tra, kì thi\n経験|けいけん|kinh nghiệm	kanji,n4,image-15-28	ready
N4-KANJI-0010	N4	n4_kanji_core	10	台	タイ, ダイ	うてな, つかさ, われ	ĐÀI	bệ, cái	～台（～だい）; 台所（だいどころ）; 台風（たいふう）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	～台|～だい|đơn vị đếm cái\n台所|だいどころ|nhà bếp/ phòng bếp\n台風|たいふう|bão	kanji,n4,image-15-28	ready
N4-KANJI-0011	N4	n4_kanji_core	11	始	シ	-はじ.める, はじ.まる, はじ.める	THỦY	bắt đầu	始める（はじめる）; 始まる（はじまる）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	始める|はじめる|bắt đầu (làm gì đó)\n始まる|はじまる|(cái gì đó) bắt đầu	kanji,n4,image-15-28	ready
N4-KANJI-0012	N4	n4_kanji_core	12	治	ジ, チ	おさ.まる, おさ.める, なお.す, なお.る	TRỊ	trị, chữa	治る（なおる）; 政治（せいじ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	治る|なおる|khỏi, được chữa khỏi\n政治|せいじ|chính trị	kanji,n4,image-15-28	ready
N4-KANJI-0013	N4	n4_kanji_core	13	天	テン	あま-, あまつ, あめ	THIÊN	trời	天気（てんき）; 天才（てんさい）; 天気予報（てんきよほう）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	天気|てんki|thời tiết\n天才|てんさい|thiên tài\n天気予報|てんきよほう|dự báo thời tiết	kanji,n4,image-15-28	ready
N4-KANJI-0014	N4	n4_kanji_core	14	夫	フ, フウ, ブ	おっと, それ	PHU	chồng, người đàn ông	夫（おっと）; 丈夫（じょうぶ）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	夫|おっと|chồng, người chồng\n丈夫|じょうぶ|chắc; khỏe	kanji,n4,image-15-28	ready
N4-KANJI-0015	N4	n4_kanji_core	15	送	ソウ	おく.る	TỐNG	gửi, tiễn	送る（おくる）; 放送（ほうそう）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	送る|おくる|gửi đi, gửi\n放送|ほうそう|phát sóng, phát tín hiệu	kanji,n4,image-15-28	ready
N4-KANJI-0016	N4	n4_kanji_core	16	開	カイ	あ.く, あ.ける, ひら.く, ひら.ける	KHAI	mở	開ける（あける）; 開く（あく）; 開く（ひらく）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	開ける|あける|mở (cái gì đó)\n開く|あく|(cái gì đó) mở\n開く|ひらく|tổ chức, mở ra	kanji,n4,image-15-28	ready
N4-KANJI-0017	N4	n4_kanji_core	17	閉	ヘイ	し.まる, し.める, た.てる, と.ざす, と.じる	BẾ	đóng	閉める（しめる）; 閉まる（しまる）; 閉じる（toじる）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	閉める|しめる|đóng (cái gì đó)\n閉まる|しまる|(cái gì đó) đóng\n閉じる|とじる|đóng, gập vào, nhắm (mắt)	kanji,n4,image-15-28	ready
N4-KANJI-0018	N4	n4_kanji_core	18	問	モン	と.う, と.い	VẤN	hỏi	問題（もんだい）; 質問する（しつもんする）	Dữ liệu dựng lại từ ảnh N4 kanji 15-28; ví dụ chuẩn từ ảnh.	問題|もんだい|vấn đề, câu hỏi\n質問する|しつもんする|hỏi đáp, chất vấn	kanji,n4,image-15-28	ready
