item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0277	N4	n4_vocab_image	277	さつ	さつ	quyén sách				source_image:31.jpg;side:L;y:211	ocr_ready
N4-VOCAB-0278	N4	n4_vocab_image	278	ほん	ほん	vêt thon cai				source_image:31.jpg;side:L;y:236	ocr_ready
N4-VOCAB-0279	N4	n4_vocab_image	279	雲	くも	máy, đám máy				source_image:31.jpg;side:R;y:236	ocr_ready
N4-VOCAB-0280	N4	n4_vocab_image	280	雪	ゆき	tuyểt				source_image:31.jpg;side:R;y:264	ocr_ready
N4-VOCAB-0281	N4	n4_vocab_image	281	かみな	かみな	sám sét				source_image:31.jpg;side:R;y:294	ocr_ready
N4-VOCAB-0282	N4	n4_vocab_image	282	嵐	あらし	dông bão				source_image:31.jpg;side:R;y:325	ocr_ready
N4-VOCAB-0284	N4	n4_vocab_image	284	風	かぜ	cơn gió				source_image:31.jpg;side:R;y:355	ocr_ready
N4-VOCAB-0285	N4	n4_vocab_image	285	晴れ	はれ	trời quang đãng				source_image:31.jpg;side:R;y:386	ocr_ready
N4-VOCAB-0286	N4	n4_vocab_image	286	とう	とう	động vật lớn (mnv)				source_image:31.jpg;side:L;y:421	ocr_ready
N4-VOCAB-0287	N4	n4_vocab_image	287	にじ	にじ	cáu vóng				source_image:31.jpg;side:R;y:421	ocr_ready
N4-VOCAB-0288	N4	n4_vocab_image	288	着	ちゃく	bộ quán áo				source_image:31.jpg;side:L;y:536	ocr_ready
N4-VOCAB-0291	N4	n4_vocab_image	291	アイロン	アイロン	ban là				source_image:31.jpg;side:R;y:686	ocr_ready
N4-VOCAB-0292	N4	n4_vocab_image	292	悲しい	かなしい	buón				source_image:31.jpg;side:L;y:717	ocr_ready
N4-VOCAB-0293	N4	n4_vocab_image	293	エアコン	エアコン	máy dỉéu hoà				source_image:31.jpg;side:R;y:717	ocr_ready
N4-VOCAB-0294	N4	n4_vocab_image	294	さびしい	さびしい	côdon				source_image:31.jpg;side:L;y:748	ocr_ready
N4-VOCAB-0296	N4	n4_vocab_image	296	しあわせ	しあわせ	4t hanh phúc				source_image:31.jpg;side:L;y:780	ocr_ready
N4-VOCAB-0297	N4	n4_vocab_image	297	すいはんき	すいはんき	nói cam dien				source_image:31.jpg;side:R;y:780	ocr_ready
N4-VOCAB-0298	N4	n4_vocab_image	298	すき	すき	thỉch; quỷ				source_image:31.jpg;side:L;y:810	ocr_ready
N4-VOCAB-0299	N4	n4_vocab_image	299	スピーカー	スピーカー	Cái loa				source_image:31.jpg;side:R;y:810	ocr_ready
