item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0693	N4	n4_vocab_image_38	693	浅い	あさい	nông	THIỂN			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0694	N4	n4_vocab_image_38	694	暑い	あつい	nóng (thời tiết, nhiệt độ)	THỬ			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0695	N4	n4_vocab_image_38	695	美しい	うつくしい	đẹp, xinh đẹp	MỸ			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0696	N4	n4_vocab_image_38	696	うまい	うまい	ngon, giỏi				Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0697	N4	n4_vocab_image_38	697	おかしい	おかしい	kỳ cục, buồn cười				Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0698	N4	n4_vocab_image_38	698	おとなしい	おとなしい	trầm tính				Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0699	N4	n4_vocab_image_38	699	重い	おもい	nặng	TRỌNG			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0700	N4	n4_vocab_image_38	700	固い	かたい	cứng, chắc	CỐ			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0701	N4	n4_vocab_image_38	701	軽い	かるい	nhẹ	KHINH			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0702	N4	n4_vocab_image_38	702	汚い	きたない	bẩn	Ô			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0703	N4	n4_vocab_image_38	703	厳しい	きびしい	nghiêm khắc	NGHIÊM			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0704	N4	n4_vocab_image_38	704	暗い	くらい	tối, tối tăm	ÁM			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0705	N4	n4_vocab_image_38	705	細かい	こまかい	nhỏ, chi tiết, lẻ (tiền)	TẾ			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0706	N4	n4_vocab_image_38	706	すごい	すごい	siêu, giỏi				Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0707	N4	n4_vocab_image_38	707	素晴らしい	すばらしい	tuyệt vời	TỐ TÌNH			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0708	N4	n4_vocab_image_38	708	正しい	ただしい	chính xác	CHÍNH			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0709	N4	n4_vocab_image_38	709	近い	ちかい	gần	CẬN			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0710	N4	n4_vocab_image_38	710	強い	つよい	mạnh, khỏe	CƯỜNG			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0711	N4	n4_vocab_image_38	711	遠い	とおい	xa	VIỄN			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0712	N4	n4_vocab_image_38	712	苦い	にがい	đắng	KHỔ			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0713	N4	n4_vocab_image_38	713	ぬるい	ぬるい	ấm ấm, nguội, hết lạnh				Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0714	N4	n4_vocab_image_38	714	眠い	ねむい	buồn ngủ	MIÊN			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0715	N4	n4_vocab_image_38	715	ひどい	ひどい	quá đáng, tàn nhẫn				Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0716	N4	n4_vocab_image_38	716	深い	ふかい	sâu	THÂM			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0717	N4	n4_vocab_image_38	717	難しい	むずかしい	khó, khó khăn	NAN			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0718	N4	n4_vocab_image_38	718	珍しい	めずらしい	hiếm có	TRÂN			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0719	N4	n4_vocab_image_38	719	優しい	やさしい	dịu dàng, tử tế	ƯU			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0720	N4	n4_vocab_image_38	720	柔らかい	やわらかい	mềm mại	NHU			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0721	N4	n4_vocab_image_38	721	弱い	よわい	yếu, yếu đuối	NHƯỢC			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0722	N4	n4_vocab_image_38	722	若い	わかい	trẻ trung	NHƯỢC			Tính từ đuôi い;source_image:38.jpg	manual_reviewed
N4-VOCAB-0723	N4	n4_vocab_image_38	723	安全	あんぜん	an toàn	AN TOÀN			Tính từ đuôi な;source_image:38.jpg	manual_reviewed
N4-VOCAB-0724	N4	n4_vocab_image_38	724	一生懸命	いっしょうけんめい	chăm chỉ, nỗ lực hết mình	NHẤT SINH HUYỀN MỆNH			Tính từ đuôi な;source_image:38.jpg	manual_reviewed
N4-VOCAB-0725	N4	n4_vocab_image_38	725	簡単	かんたん	đơn giản	GIẢN ĐƠN			Tính từ đuôi な;source_image:38.jpg	manual_reviewed
N4-VOCAB-0726	N4	n4_vocab_image_38	726	危険	きけん	nguy hiểm	NGUY HIỂM			Tính từ đuôi な;source_image:38.jpg	manual_reviewed
