item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-2001	N4	n4_vocab_jlpt	2001	紙	かみ	Giấy	CHỈ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:1	ocr_ready
N4-VOCAB-2002	N4	n4_vocab_jlpt	2002	地理	ちり	Địa lý	ĐỊA LÍ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:2	ocr_ready
N4-VOCAB-2003	N4	n4_vocab_jlpt	2003	泳ぐ	およぐ	Bơi	VỊNH			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:3	ocr_ready
N4-VOCAB-2004	N4	n4_vocab_jlpt	2004	運ぶ	はこぶ	Vận chuyển	VẬN			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:4	ocr_ready
N4-VOCAB-2005	N4	n4_vocab_jlpt	2005	特別	とくべつ	Đặc biệt	ĐẶC BIỆT			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:5	ocr_ready
N4-VOCAB-2006	N4	n4_vocab_jlpt	2006	軽い	かるい	Nhẹ	KHINH			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:6	ocr_ready
N4-VOCAB-2007	N4	n4_vocab_jlpt	2007	色	いろ	Màu sắc	SẮC			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:1;item:7	ocr_ready
N4-VOCAB-2008	N4	n4_vocab_jlpt	2008	動く	うごく	Hoạt động, di chuyển	ĐỘNG			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:2;item:1	ocr_ready
N4-VOCAB-2009	N4	n4_vocab_jlpt	2009	夕飯	ゆうはん	Cơm tối	TỊCH PHẠN			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:2;item:2	ocr_ready
N4-VOCAB-2010	N4	n4_vocab_jlpt	2010	考える	かんがえる	Suy nghĩ	KHẢO			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:2;item:3	ocr_ready
N4-VOCAB-2011	N4	n4_vocab_jlpt	2011	工場	こうじょう	Nhà máy, xưởng	CÔNG TRƯỜNG			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:2;item:4	ocr_ready
N4-VOCAB-2012	N4	n4_vocab_jlpt	2012	遠い	とおい	Xa	VIỄN			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:2;question:2;item:5	ocr_ready
N4-VOCAB-2013	N4	n4_vocab_jlpt	2013	集める	あつめる	Sưu tầm, gom	TẬP			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:1	ocr_ready
N4-VOCAB-2014	N4	n4_vocab_jlpt	2014	姉	あね	Chị gái	TỶ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:2	ocr_ready
N4-VOCAB-2015	N4	n4_vocab_jlpt	2015	光る	ひかる	Phát sáng	QUANG			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:3	ocr_ready
N4-VOCAB-2016	N4	n4_vocab_jlpt	2016	今度	こんど	Lần này	KIM ĐỘ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:4	ocr_ready
N4-VOCAB-2017	N4	n4_vocab_jlpt	2017	赤い	あかい	Đỏ	XÍCH			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:5	ocr_ready
N4-VOCAB-2018	N4	n4_vocab_jlpt	2018	火	ひ	Lửa	HỎA			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:6	ocr_ready
N4-VOCAB-2019	N4	n4_vocab_jlpt	2019	生産	せいさん	Sản xuất	SINH SẢN			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:1;item:7	ocr_ready
N4-VOCAB-2020	N4	n4_vocab_jlpt	2020	明るい	あかるい	Sáng, tươi tắn	MINH			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:2;item:1	ocr_ready
N4-VOCAB-2021	N4	n4_vocab_jlpt	2021	運転	うんてん	Lái xe	VẬN CHUYỂN			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:2;item:2	ocr_ready
N4-VOCAB-2022	N4	n4_vocab_jlpt	2022	味	あじ	Vị	VỊ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:2;item:3	ocr_ready
N4-VOCAB-2023	N4	n4_vocab_jlpt	2023	終わる	おわる	Kết thúc	CHUNG			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:2;item:4	ocr_ready
N4-VOCAB-2024	N4	n4_vocab_jlpt	2024	反対	はんたい	Phản đối	PHẢN ĐỐI			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:3;question:2;item:5	ocr_ready
N4-VOCAB-2025	N4	n4_vocab_jlpt	2025	工事	こうじ	Thi công	CÔNG SỰ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:4;question:1;item:1	ocr_ready
N4-VOCAB-2026	N4	n4_vocab_jlpt	2026	持つ	もつ	Cầm, nắm, có	TRÌ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:4;question:1;item:2	ocr_ready
N4-VOCAB-2027	N4	n4_vocab_jlpt	2027	体	からだ	Cơ thể, người	THỂ			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:4;question:1;item:3	ocr_ready
N4-VOCAB-2028	N4	n4_vocab_jlpt	2028	入院	にゅういん	Nhập viện	NHẬP VIỆN			source_pdf:TỔNG HỢP KANJI N4 ĐÃ XUẤT HIỆN TẠI JLPT. NEW - VDJ.pdf;page:4;question:1;item:4	ocr_ready
