item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0277	N4	n4_vocab_topic_image	277	歳	さい	tuổi	TUẾ			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0278	N4	n4_vocab_topic_image	278	冊	さつ	quyển sách	SÁCH			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0279	N4	n4_vocab_topic_image	279	本	ほん	vật thon dài	BẢN			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0280	N4	n4_vocab_topic_image	280	枚	まい	vật mỏng, dẹt (giấy, tiền, quần áo...)	MAI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0281	N4	n4_vocab_topic_image	281	台	だい	xe cộ, máy móc	ĐÀI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0282	N4	n4_vocab_topic_image	282	杯	はい	chén, bát, ly, cốc	BÔI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0283	N4	n4_vocab_topic_image	283	匹	ひき	động vật bé (chó, mèo, lợn...)	THẤT			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0284	N4	n4_vocab_topic_image	284	羽	わ	chim, thỏ	VŨ			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0285	N4	n4_vocab_topic_image	285	頭	とう	động vật lớn (ngựa, voi...)	ĐẦU			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0286	N4	n4_vocab_topic_image	286	足	そく	giày, dép, tất	TÚC			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0287	N4	n4_vocab_topic_image	287	件	けん	căn nhà	KIỆN			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0288	N4	n4_vocab_topic_image	288	階	かい	tầng, lầu	GIAI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0289	N4	n4_vocab_topic_image	289	着	ちゃく	bộ quần áo	TRƯỚC			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	ready
N4-VOCAB-0290	N4	n4_vocab_topic_image	290	雨	あめ	mưa, cơn mưa	VŨ			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0291	N4	n4_vocab_topic_image	291	雲	くも	mây, đám mây	VÂN			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0292	N4	n4_vocab_topic_image	292	雪	ゆき	tuyết	TUYẾT			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0293	N4	n4_vocab_topic_image	293	雷	かみなり	sấm sét	LÔI			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0294	N4	n4_vocab_topic_image	294	嵐	あらし	dông bão	LAM			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0295	N4	n4_vocab_topic_image	295	風	かぜ	con gió	PHONG			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0296	N4	n4_vocab_topic_image	296	晴れ	はれ	trời quang đãng, trời nắng đẹp	TÌNH			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0297	N4	n4_vocab_topic_image	297	虹	にじ	cầu vồng	HỒNG			Thời tiết;source_image:31.jpg	ready
N4-VOCAB-0298	N4	n4_vocab_topic_image	298	嬉しい	うれしい	vui sướng	HI			Tâm trạng, cảm xúc;source_image:31.jpg	ready
N4-VOCAB-0299	N4	n4_vocab_topic_image	299	楽しい	たのしい	vui vẻ	LẠC			Tâm trạng, cảm xúc;source_image:31.jpg	ready
N4-VOCAB-0300	N4	n4_vocab_topic_image	300	悲しい	かなしい	buồn	BI			Tâm trạng, cảm xúc;source_image:31.jpg	ready
